Sheher,Marka,Model,Buraxilish ili,Ban novu,Reng,Muherrikin hecmi,Muherrikin gucu,Yanacaq novu,Yurush,Suretler qutusu,Oturucu,Yeni,Qiymet,Extra Info,Seller comment
Bakı,Mercedes,C 230,2000,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,234 000 km,Avtomat,Arxa,Xeyr,11300 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Yan pərdələr"
Şirvan,Mercedes,C 220,1996,Sedan,Göy,2.2 L,146 a.g.,Benzin,318 000 km,Avtomat,Ön,Xeyr,9300 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Dəri salon,Yan pərdələr",Her gun ozum ucun surulen mawindi.Pul lazim oldugu ucun satiram.
Gəncə,Mercedes,C 180,1998,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,244 680 km,Avtomat,Arxa,Xeyr,12800 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr","Salam.mawin ços saliqali va baximli mawindI.vuruq.udar.pas.çürük qati yoxdu.salon cox saliqali.takar tap taza.texniki baxiw va siqorta yeni.lew mawin axdarannar narahad etmasin.wakilda neca var eladi.heç kimin ayaqina aparilmir.galan usda ila galsin.mator.mosd karobka super vaziyatda.cox ekanom va dinamik mawindi.
NA LAZIMDI YAZDIM 
BOW BOW SUALLAR VERMAYIN."
Bakı,Mercedes,C 220,1995,Sedan,Yaşıl,2.2 L,146 a.g.,Benzin,284 567 km,Mexaniki,Arxa,Xeyr,7300 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi"
Bakı,Mercedes,C 240,2000,Sedan,Gümüşü,2.4 L,177 a.g.,Benzin,295 000 km,Avtomat,Arxa,Xeyr,12400 AZN,Kreditdədir,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar"
Gəncə,Mercedes,C 180,1994,Sedan,Qəhvəyi,1.8 L,122 a.g.,Benzin,300 000 km,Mexaniki,Arxa,Xeyr,7350 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma",Salam maslnln hec bir problemi yoxdu vuruqu udarl yoxdu takarlari tazadi sanatlari qaydaslndadl bos adamlar narahat etmasin
Bakı,Mercedes,C 200,1998,Universal,Göy,2.0 L,136 a.g.,Benzin,248 000 km,Avtomat,Arxa,Xeyr,10500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Oturacaqların ventilyasiyası",Maşın ideal veziyyetde .udarı vuruğu yoxdur.qabağ hissede yüngül kosmetika işi var.temiz nemka dı perikitka deyil yenii rolu saqdan sola kecme deyil.her şeyi işlek veziyyütde di
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,155 000 km,Avtomat,Arxa,Xeyr,12300 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Yan pərdələr,Oturacaqların ventilyasiyası","Super veziyyetdedir.Her bir detalina vaxtinda qulluq olunub,tekerleri yenidir,vurugu udari yoxdur.Istenilen yerde yoxlatdira bilersiz.Sade motordur.Real alicilar narahat etsin.Qiymetde razilasmaq olar"
Qax,Mercedes,C 180,1999,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,201 000 km,Mexaniki,Arxa,Xeyr,10900 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar,Oturacaqların ventilyasiyası",Masin idyal veziyetdedi hec bir xerci yoxdur 
Bakı,Mercedes,C 220,1999,Universal,Gümüşü,2.2 L,146 a.g.,Dizel,190 000 km,Avtomat,Arxa,Xeyr,14000 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Oturacaqların ventilyasiyası",Masinda mator karopka most super vezyetdedi xodavoy ela vezyetdedi. Masin 1999ci il madel 2000ci ildi.Almaniyadan gelmedi ozum getirmiwem 
Zaqatala,Mercedes,C 230,1999,Sedan,Qızılı,2.3 L,150 a.g.,Benzin,167 000 km,Avtomat,Arxa,Xeyr,12300 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon"
Bakı,Mercedes,C 220,1998,Sedan,Tünd qırmızı,2.2 L,143 a.g.,Dizel,475 630 km,Avtomat,Arxa,Xeyr,10700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Salam.mawin 2:::2sade dizeldi .sidyay deyil herweyi iwlek vezyetdedi .dizeli  az iwderdir.qiymetde yungul endirim olacaq.
Bakı,Mercedes,C 320,2000,Sedan,Qara,3.2 L,224 a.g.,Benzin,248 000 km,Avtomat,Arxa,Xeyr,7500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası","Çox təcili satılır.Polnu ful variyantdır.Mator, karobka,most əla vəziyyətdədir.Xırda kosmetik işləri var."
Bakı,Mercedes,C 180,1994,Sedan,Gümüşü,1.8 L,136 a.g.,Benzin,362 000 km,Avtomat,Arxa,Xeyr,8300 AZN,Kreditdədir,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Arxa görüntü kamerası"
Bakı,Mercedes,C 220,1995,Sedan,Gümüşü,2.2 L,150 a.g.,Benzin,362 000 km,Mexaniki,Arxa,Xeyr,8600 AZN,Kreditdədir,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Oturacaqların isidilməsi,Ksenon lampalar,Yan pərdələr"
Bakı,Mercedes,C 200,2002,Sedan,Yaşıl,2.0 L,150 a.g.,Benzin,291 100 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası","Salam ilk Novbede Alanada Satanada ALLAH xeyir Versin Mashin Gorunduyu Kimidir .Bele deyek .Lazim olan rasxodlar gorulub .Terife ehtiyyac Yoxdur Tecili Satilir 
Qiymet Gore Razilasmaq Olar Ishim ile elaqeli olaraq coxda Goture bilmirem whatsapda yaza bilersiz"
Bakı,Mercedes,C 230,1999,Sedan,Ağ,2.3 L,150 a.g.,Benzin,194 000 km,Avtomat,Arxa,Xeyr,12650 AZN,Kreditdədir,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon"
Bakı,Mercedes,C 220,2001,Universal,Gümüşü,2.2 L,143 a.g.,Dizel,268 611 km,Avtomat,Arxa,Xeyr,11800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası","Avtomobil temiz nemkadir udari, curuyu, pasi yoxdur oz avtomobilimdir.
Xahis olunur fikri ciddi "
Göyçay,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,383 000 km,Avtomat,Arxa,Xeyr,12000 AZN,,Hec bir problemi yoxdu
Bakı,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,280 000 km,Avtomat,Arxa,Xeyr,11900 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Yan pərdələr,Oturacaqların ventilyasiyası"
Bakı,Mercedes,C 240,1999,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,280 000 km,Avtomat,Arxa,Xeyr,10900 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar,Yan pərdələr"
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,156 a.g.,Benzin,59 500 km,Avtomat,Arxa,Xeyr,32700 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar","Европейка!
В идеальном состоянии! Без краски!
Только привезена в Баку. Дорогие покрышки GoodYear.
Не требует никаких затрат.Хорошая комплектация.
Торг у машины."
Bakı,Mercedes,C 180,2018,Sedan,Qara,1.6 L,150 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,50999 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası","C180 AMG full paket
Alakantara salon.
Maşın tezedi. Geldiği yol sürülüp. 2500km'dedi."
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar","Maşın Təcili satılır. əla vəziyyətdədir.heç bir problemi yoxdu. 2.3 kompressor. AMG disklər.4 təzə təkər. mator,karobka,perodok əladi.gündəlik sürülən maşındi.harda isdəsəz yoxlatdıra bilərsiz.xahiş olunur yalnız real alıcılar narahat eləsin.real alıcı ilə qiymətdə razılaşmaq olar."
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Mawinin hecbir problemi yoxdu almanyadan gelennen mendedi tecili satilir
Sumqayıt,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,338 400 km,Avtomat,Arxa,Xeyr,10500 AZN,Kreditdədir,Barter mümkündür
Salyan,Mercedes,C 180,1994,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,358 823 km,Avtomat,Arxa,Xeyr,7500 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner",Maın yaxşı veziyetdedi kondsaneride işlekdi  tekerlerde tezedi mator  1.8 di
Bakı,Mercedes,C 180,1997,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,162 882 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Arxa görüntü kamerası",Avtomobil heç bir xərc tələb etmir. Saz veziyyətdədir. Qaraj şəraitində saxlanılır!
Sumqayıt,Mercedes,C 220,1995,Sedan,Göy,2.2 L,146 a.g.,Benzin,517 000 km,Avtomat,Arxa,Xeyr,9000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Dəri salon",Salam mawin oz adimadir hec bir xerc teleb elemir kondisoner iwlekdir karobkanin yagi yeni deyiwilib mator yag yemir zbor tyaqa deyiwilib tekerler yaxwi veziyyetdedir 
Sumqayıt,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,240 653 km,Mexaniki,Arxa,Xeyr,10400 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner",Maşın əla vəziyətdədir hec bir xərc tələb etmir 4 təzə təkər
Bakı,Mercedes,C 180,1997,Sedan,Göy,1.8 L,122 a.g.,Benzin,322 445 km,Avtomat,Arxa,Xeyr,10900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Arxa görüntü kamerası","Ideal masindi,hec bir problemi yoxdu,dostda qardasa qismet olasi masindi."
Bakı,Mercedes,C 200,1998,Universal,Qara,2.0 L,136 a.g.,Benzin,301 000 km,Avtomat,Arxa,Xeyr,11600 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner"
Bakı,Mercedes,C 180,1995,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,400 000 km,Avtomat,Arxa,Xeyr,9000 AZN,Kreditdədir,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Oturacaqların ventilyasiyası"
Qazax,Mercedes,C 200,1995,Sedan,Göy,2.0 L,136 a.g.,Benzin,270 000 km,Avtomat,Tam,Xeyr,8500 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Ela veziyetdedir.hec bir problemi yoxdur
Ağdam,Mercedes,C 240,1998,Sedan,Göy,2.4 L,170 a.g.,Benzin,324 144 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr",Maşın əla vəziyyətdədir heç bir xərc tələb etmir razılaşmaq olar ((reng tünd göydür))
Bakı,Mercedes,C 200,1997,Universal,Gümüşü,2.0 L,136 a.g.,Benzin,400 564 km,Avtomat,Arxa,Xeyr,10850 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner",udarsiz salamat masindi kasmetikya ehtiyyaci yoxdu. mator most karobkaya soz ola bilmez. belede ne rasxodu olsa pulunan cixacam
Sumqayıt,Mercedes,C 300,2015,Sedan,Qara,2.0 L,245 a.g.,Benzin,41 000 km,Avtomat,Arxa,Xeyr,36500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr"
Bakı,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,230 000 km,Avtomat,Arxa,Xeyr,10800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",Masin ela veziyyetdedir vurugu qetiyen yoxdur mator karopka ela veziyyetdedir masin 2012 ci ilde gelib birinci sahibiyem kondisaner ela isleyir butun funksiyalar islek veziyyetdedir 
Bakı,Mercedes,C 180,1997,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,214 000 km,Avtomat,Arxa,Xeyr,10750 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Yan pərdələr","Salam Aleykum!!! 98 modeldi, öz maşinimdi cox temiz galip, istenilen servisde yoxlamag mumkundur.."
Bakı,Mercedes,C 180,1995,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,232 000 km,Avtomat,Arxa,Xeyr,6800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Ksenon lampalar",tecili satilir cox ekanom ve rahat mawindi her gun seherde surulen mawindi.
Bakı,Mercedes,C 200,1998,Sedan,Ağ,2.0 L,136 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Masin ideal veziyyetdedi. Vuruqu udari qetiyyen olmayib. Patalok alkantar. Bos bekar adamlar narahat etmesin. Real aliciyla sohbet ederem. 
İsmayıllı,Mercedes,C 180,1998,Sedan,Göy,1.8 L,122 a.g.,Benzin,311 419 km,Avtomat,Arxa,Xeyr,10900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",Maşın zavod maşındı maşının vurduğu udarı qəti olmayıb maşınını təkər və akmıyatoru 10 gündü alınıb arxa görüntü kamera yerləşdirilib salonu çox seliqelidi maşın 1998 madeldi  lazer acardı                   başqa məlumat almaq üçün zəng ata bilərsiz
Bakı,Mercedes,C 280,1998,Sedan,Ağ,2.8 L,192 a.g.,Benzin,238 894 km,Avtomat,Arxa,Xeyr,9900 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr"
Sumqayıt,Mercedes,C 180,1998,Universal,Gümüşü,1.8 L,122 a.g.,Benzin,332 000 km,Avtomat,Arxa,Xeyr,11800 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Arxa görüntü kamerası,Yan pərdələr"
Cəlilabad,Mercedes,C 180,1998,Sedan,Boz,1.8 L,122 a.g.,Benzin,219 000 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner,Yan pərdələr",Maşın saz vəziyyətdədir fikri ciddi olanlar əlaqə saxlasın
Sumqayıt,Mercedes,C 230,1997,Sedan,Qara,2.3 L,150 a.g.,Benzin,235 000 km,Avtomat,Arxa,Xeyr,9300 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası",Masin zavadskoydu prablemi yoxdu ..mator sadedir.
Füzuli,Mercedes,C 180,1997,Universal,Göy,1.8 L,122 a.g.,Benzin,391 000 km,Mexaniki,Arxa,Xeyr,10000 AZN,"ABS,Mərkəzi qapanma,Kondisioner",salam 5 ildi mendi alveci delem qimete razaşarix
Cəlilabad,Mercedes,C 320,2000,Sedan,Ağ,3.2 L,218 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,11000 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon,Yan pərdələr"
Sumqayıt,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,154 000 km,Avtomat,Arxa,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Dəri salon,Ksenon lampalar",Maşın yaxşı vəziyyətdədir udar vuruq olmayıb mator karopqa əla vəziyyətdədir maşın əl dəyişməyib mator sadədir
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Bakı,Mercedes,C 280,1995,Sedan,Qara,2.8 L,193 a.g.,Benzin,394 000 km,Avtomat,Arxa,Xeyr,6900 AZN,Kreditdədir,Barter mümkündür
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon","Mawin BAKIDADI. Tecili satilir yaxwi veziyetdedir mator karopka most ela veziyetdedir . Tek prablemi 
 vozduxamer iwlemir oda  ya pulundan cixaram yada alib qoyaram. bawqa prabelmi yoxdu otur sur mawindi real aliciya endirim olacaq. "
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası",Maşının  tam ideal vəziyyətdədir heç bir xərc tələb etmir.Maşın  ailə maşını kimi istifadə olunub.Qaraj şəraitində saxlanılıb.Maşının probeqi orginaldı.Real alıcılara maşına baxdıqdan sora cüzi endirim olacaq.
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Mawinin hecbir problemi yoxdu almanyadan gelennen mendedi tecili satilir
Bakı,Mercedes,C 240,1999,Sedan,Boz,2.6 L,170 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar",kosmetik ise ehtiyaci var.imkan olmadiginan satiram.qiymetde endirim olar.bos bekarlar narat etmesin
Sumqayıt,Mercedes,C 180,1998,Universal,Qara,1.8 L,122 a.g.,Benzin,380 000 km,Mexaniki,Arxa,Xeyr,8600 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Tecili satılır udar vuruq qətiyyən yoxdu
Şamaxı,Mercedes,C 200,1994,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,356 000 km,Avtomat,Arxa,Xeyr,8700 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner",Masin ela veziyetdedir.udari qeti yoxdur.klimat kondisener.kosmetikasi seliqeli.otur sur masindir.masin Samaxidadir
